Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Midco Sioux Falls,south-dakota,43.4966172,-96.7859594,1.0,1.91,https://business.midco.com/services/security/data-centers/sioux-falls-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/solberg/,Small,P4,False,1,7884.0
SDN Communications LaMesa Data Center,south-dakota,43.60695260861166,-96.80919287742653,15.0,1.68,https://sdncommunications.com/services/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/sdn-communications-lamesa-data-center/,Midsize/Colo,P3,False,1,118260.0
Sioux Falls Technology Park,south-dakota,43.5926829,-96.639448,480.0,1.22,https://www.sftechpark.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/gemini-data-center-sd-llc/,Hyperscale,P1,False,5,3784320.0
Midco Yankton,south-dakota,42.892008,-97.416499,1.0,1.91,https://business.midco.com/services/security/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/midco-yankton/,Small,P4,False,1,7884.0
Sioux Falls Technology Park - Bldg 3,south-dakota,43.593078,-96.639177,120.0,1.22,https://www.sftechpark.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/sioux-falls-technology-park-bldg-3/,Hyperscale,P1,False,5,946080.0
Sioux Falls Technology Park - Bldg 2,south-dakota,43.59306,-96.64083,120.0,1.22,https://www.sftechpark.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/sioux-falls-technology-park-bldg-2/,Hyperscale,P1,False,5,946080.0
Sioux Falls Technology Park - Bldg 1,south-dakota,43.592837,-96.643069,120.0,1.22,https://www.sftechpark.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/sioux-falls-technology-park-bldg-1/,Hyperscale,P1,False,5,946080.0
Sioux Falls Technology Park - Bldg 4,south-dakota,43.593172,-96.637279,120.0,1.22,https://www.sftechpark.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/sioux-falls-technology-park-bldg-4/,Hyperscale,P1,False,5,946080.0
Sequitor Edge Rapid City,south-dakota,44.0333713812563,-103.1892529494802,10.0,1.68,https://sequitoredge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/rapid-city/sequitor-edge-rapid-city/,Midsize/Colo,P1,False,5,78840.0
Applied Digital Toronto,south-dakota,44.57302019999999,-96.6425536,20.0,1.14,https://www.applieddigital.com/data-center-solutions?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/clear-lake/applied-digital-toronto/,AI Specialized,P2,False,1,157680.0
TierPoint Sioux Falls West,south-dakota,43.6069526,-96.8091929,15.0,1.68,https://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/cosentry-la-mesa/,Midsize/Colo,P2,False,1,118260.0
TierPoint Sioux Falls East,south-dakota,43.5955224,-96.7171664,15.0,1.68,https://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-dakota/sioux-falls/cosentry1/,Midsize/Colo,P2,False,1,118260.0
