Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
LightEdge - Lenexa,kansas,38.951822,-94.789143,2.9,1.91,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/cavern-technologies/,Small,P1,False,5,22863.6
Netrality - KC2 7801 Nieman Kansas Data Center,kansas,38.9865887,-94.7123953,10.0,1.68,,https://www.datacentermap.com/usa/kansas/kansas-city-ks/netrality-7801-nieman/,Midsize/Colo,P1,False,5,78840.0
DigiCo Kansas City KCM1,kansas,38.94013431829805,-94.86772189232298,13.5,1.68,https://www.digi-co.com.au/location/chicago-kcm1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/digico-kansas-city-kcm1/,Midsize/Colo,P1,False,5,106434.0
Alcove Osawatomie Data Center,kansas,38.5199079353736,-94.92741486362296,150.0,1.22,https://alcovedevelopment.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/alcove-osawatomie-data-center/,Hyperscale,P1,False,5,1182600.0
Red Wolf DCD Properties LLC,kansas,39.132337,-94.880339,600.0,1.22,,https://www.datacentermap.com/usa/kansas/kansas-city-ks/red-wolf-dcd-properties-llc/,Hyperscale,P1,False,5,4730400.0
C1 Kansas Data Center,kansas,38.9357321,-94.7919983,1.0,1.91,https://www.onec1.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/aoscloud/,Small,P3,False,1,7884.0
FullControl Network Data Center,kansas,38.9279878,-94.7508505,15.0,1.68,https://www.fullcontrol.net/Services/Colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/fullcontrol-network/,Midsize/Colo,P3,False,1,118260.0
3601 N 12th St,kansas,39.14984080826389,-94.63792671007782,1.0,1.91,https://www.power-transitions.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/3601-n-12th-st/,Small,P4,False,1,7884.0
Windstream Lenexa,kansas,38.9845182,-94.7184721,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/lenexa/windstream-lenexa/,Small,P4,False,1,7884.0
IONOS Lenexa,kansas,38.93119125302246,-94.75309457361034,1.0,1.91,https://cloud.ionos.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/lenexa/ionos-lenexa/,Small,P4,False,1,7884.0
UV&S Data Center,kansas,37.689269,-97.343345,1.0,1.91,https://uvsinc.com/technology/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/wichita/concergent/,Small,P1,False,5,7884.0
Cormor Data Shelter,kansas,37.29214702853452,-97.40143785183876,100.0,1.22,https://cormor.ca/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/wichita/cormor-data-shelter/,Hyperscale,P1,False,5,788400.0
Project Pilot,kansas,38.94806,-95.026977,1.0,1.91,https://bealeinfra.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/topeka/project-pilot/,Small,P4,False,1,7884.0
ISG Topeka,kansas,39.052558,-95.666014,1.0,1.91,https://isgtech.com/datacenter?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/topeka/isg-topeka/,Small,P4,False,1,7884.0
Vine Energy LLC,kansas,37.94134983487479,-95.42085083607888,3.0,1.91,,https://www.datacentermap.com/usa/kansas/iola/vine-energy-llc/,Small,P1,False,5,23652.0
Euphemystic Ventures AI micro-datacenter,kansas,38.9481178,-95.2678197,0.01,1.91,https://www.euphemystic.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/lawrence/euphemystic-ventures-ai-micro-datacenter/,Small,P1,False,5,78.84
DataBank MCI2 - Pine Ridge,kansas,38.975208,-94.7090652,2.0,1.91,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/databank-pine-ridge-kc/,Small,P1,False,5,15768.0
DataBank MCI1 - Kansas City - South Lake,kansas,38.9267891,-94.7681432,2.0,1.91,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/databank-south-lake-kc3/,Small,P1,False,5,15768.0
DataBank MCI3 - South Lake Campus,kansas,38.9251695,-94.7702912,12.75,1.68,https://www.databank.com/data-centers/kansas-city/south-lake-campus/south-lake/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/lenexa/databank-mci3-south-lake-campus/,Midsize/Colo,P1,False,5,100521.0
QTS Overland Park 1 DC1,kansas,38.8757775,-94.6707876,0.18,1.91,https://www.qtsdatacenters.com/data-centers/overland-park?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/qts-overland-park/,Small,P1,False,5,1419.1200000000001
QTS New Century,kansas,38.83608423827297,-94.87405882223942,15.0,1.68,https://qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/qts-new-century/,Midsize/Colo,P2,False,1,118260.0
TierPoint Kansas City - Lenexa,kansas,38.9407414,-94.7552244,6.6,1.91,https://www.tierpoint.com/data-centers/kansas/kansas-city-lenexa/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kansas/kansas-city-ks/cosentry-lenexa/,Small,P1,False,5,52034.399999999994
